Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Inscripcion_USD_web
"Premio | 4to. Concurso de Novela Negra ""Puerto Negro”",Chile,Universidad Andrés Bello,"Dirigido a escritores chilenos o extranjeros, mayores de 18 años.
Podrán participar con una novela inédita y original escrita en español, dentro del género negro o policial.  La novela debe tener entre 180 y 250 páginas. Participar es totalmente gratuito. Se entregará como premio único la publicación en Chile de la obra ganadora en Ediciones LOM.",https://cultura.unab.cl/evento/concurso-puerto-negro-2025/,Premio,"Literatura, Novela Negra, Policial",Literatura,Sin cargo,,CLP,,
Premio |  XXXVI Certamen Literario Villa de Almoradí,España,Ayuntamiento de Almoradí,"Dirigido a cualquier persona física mayor de edad, de nacionalidad española o extranjera, que desee participar en la con un ensayo, relato o cuento. Las obras presentadas deben ser originales e inéditas, no publicadas ni premiadas anteriormente, con una extensión máxima de 3 folios A4 y escritas en lengua castellana. El certamen otorga un Primer Premio de 1.000 euros y diploma, y un Accésit de 300 euros y diploma.",https://www.almoradi.es/el-ayuntamiento/concejalias/cultura/certamenes/,Premio,"Literatura, Ensayo, Relato, Cuento",Literatura,Sin cargo,1000.0,EUR,1080.0,
Premio | Premio Primera Novela 2025,México,Secretaría de Educación Pública del Gobierno de México,"Podrán participar todas las personas escritoras mexicanas o residentes permanentes en México que hayan publicado una novela entre el 1 de enero del 2024 y el 31 de diciembre del 2024, que sean mayores de edad, que vivan en la República Mexicana y que acrediten que cuentan con el permiso de la editorial para participar en el concurso. El valor total de los premios es de $350,000.00 M.N., consistentes en  2  finalistas a los que se les otorgará un incentivo de $50,000.00 a cada uno; y 1 ganador que será acreedor a un incentivo de $250,000.00.",https://www.primeranovela.com/bases,Premio,"Literatura, Novela",Literatura,Sin cargo,35000000.0,MXN,19950.00,
Premio | IV Certamen Literario “Dalia Álvarez Molina”,España,Asociación Asperger Asturias,Dirigido a personas mayores de 16 años de cualquier nacionalidad; no requiere pago. Disciplina: relato corto en lengua castellana sobre experiencias relacionadas con el TEA/Asperger. Premio de 300 euros; abierto a participantes de Latinoamérica.,https://aspergerasturias.org/iv-certamen-literario-relato-corto-dalia-alvarez-molina/,Premio,Literatura,Literatura,Sin cargo,300.0,EUR,324.0,
Premio | IV Premio Internacional de Ensayo María Zambrano,España,Diputación Provincial de Málaga,"El Premio busca fomentar la investigación sobre la obra filosófica de María Zambrano y la relación entre filosofía y literatura. Abierto a cualquier persona con obras originales e inéditas en castellano, el concurso aceptará ensayos de entre 60 y 120 páginas, en formato PDF y enviados en soporte digital o por correo postal a la Diputación de Málaga. El premio está dotado con 10.000 euros, distribuidos en 6.000 euros para el primer lugar (cuya obra también será publicada por CEDMA) y 4.000 euros para el segundo. Abierto a participantes de Latinoamérica.",https://www.malaga.es/generaciondel27/1014/premios-literarios,Premio,"Literatura, Ensayo, Filosofía",Literatura,Sin cargo,10000.0,EUR,10800.0,
"Premio | XI Certamen de Poesía “El Último Templario del Bierzo, El Señor de Bembibre”",España,Asociación Caballeros Bergidum Templi,"Dirigido a poetas de ámbito internacional, sin requerir pago para participar. Disciplina: poesía. La temática será: Los Templarios, los personajes de la obra “El Señor de Bembibre” y su época o los paisajes del Bierzo. Premios de 300, 150 y 50 euros para los ganadores. Abierto a participantes de Latinoamérica.",https://www.caballerosbergidumtemplielbierzo.com/bases3e8826fd,Premio,"Literatura, Poesía",Literatura,Sin cargo,50.0,EUR,54.0,
Premio | XVI Concurso de Cuentos Ilustrados “Cuentos para la Igualdad”,España,Ayuntamiento de Dos Hermanas (Sevilla),"Dirigido a cualquier persona, sin importar nacionalidad, que presente un cuento ilustrado original en castellano dirigido a niñas y niños de 3 a 8 años. No requiere pago para participar. Disciplinas: literatura infantil e ilustración; premio de 1.000 euros y 25 ejemplares de la publicación. Abierto a participantes de Latinoamérica.",https://www.doshermanas.es/concejalias/igualdad-y-juventud/igualdad/actividades/XVI-CONCURSO-DE-CUENTOS-ILUSTRADOS-CUENTOS-PARA-LA-IGUALDAD/,Premio,"Literatra, Visuales, Diseño, Ilustración",Diseño,Sin cargo,1000.0,EUR,1080.0,
Premio | IV Premio de Poesía “Wetonia”,España,Ayuntamiento de Malpartida de Plasencia (Cáceres),"Dirigido a poetas mayores de edad de cualquier nacionalidad con obras en español, sin requerir pago de inscripción. Disciplina: poesía. La obra presentada deberá tener una extensión mínima de 400 versos y no más de 800 y deberá estar escrita en castellano. El tema y la métrica quedarán al libre criterio del autor. El premio consiste en mil euros (1.000 €) no divisibles y la edición. El ganador deberá recibir el premio personalmente en un acto cultural.",https://www.malpartidadeplasencia.es/documents/1275830/0/BASES+WETONIA+25.pdf/f5aa6e24-80e8-3da7-fa73-e82c0ba55ed9?t=1743759182061,Premio,"Literatura, Poesía",Literatura,Sin cargo,1000.0,EUR,1080.0,
Premio | Premio Estatal de Poesía Efrén Rebolledo 2025,México,Gobierno del Estado de Hidalgo,"Dirigido a personas mayores de 18 años, originarias de Hidalgo o con residencia mínima de cinco años en el estado; no requiere pago para participar. Disciplina: poesía (poemario inédito). El premio es de 50,000 pesos mexicanos y no está abierto a artistas de Latinoamérica, solo a residentes de Hidalgo.",https://culturahidalgo.gob.mx/convocatoria-premio-estatal-de-poesia-efren-rebolledo/,Premio,"Literatura, Poesía",Literatura,Sin cargo,50000.0,MXN,2850.0,
Premio | Premio Estatal de Cuento Ricardo Garibay 2025,México,Gobierno del Estado de Hidalgo,"Dirigido a mayores de 18 años originarios o con al menos cinco años de residencia en Hidalgo, México; no requiere pago; disciplina: cuento literario; premio de 50,000 pesos mexicanos; no está abierto a artistas de toda Latinoamérica, solo a quienes cumplen los requisitos de residencia en Hidalgo.",https://culturahidalgo.gob.mx/convocatoria-ricardo-garibay-2025/,Premio,"Literatura, Cuento",Literatura,Sin cargo,50000.0,MXN,2850.0,
Premio | Premio FIL de Literatura en Lenguas Romances 2025,México,Asociación Civil Premio FIL de Literatura en Lenguas Romances,"Dirigido a autores de obras literarias pertenecientes a cualquier género, sin distinción de nacionalidad o sexo, de trayectoria internacional, que publiquen en lenguas romances (escritas en español, catalán, gallego, francés, italiano, rumano o portugués). Disciplinas: literatura (todos los géneros). Las candidaturas deberán ser presentadas por cualquier asociación, institución cultural o educativa interesada en la literatura. El premio es de 150,000 dólares estadounidenses y está abierto a autores de Latinoamérica y otras regiones.",https://www.fil.com.mx/premiofil/premiofil_fil.asp,Premio,"Literatura, Trayectoria",Literatura,Sin cargo,150000.0,MXN,8550.0,
Premio | Trigésimo Séptima Edición del Concurso Poético “Segovia y Su Sierra. Ángel Esteban”,España,Asociación Cultural Provincial “La Colodra”,"Dirigido a escritores de cualquier nacionalidad, sin requerir pago, para la disciplina de poesía; otorga un premio de 1.000 euros y diploma, y está abierto a participantes de Latinoamérica.",https://www.lacolodra.org/asociacion_cultural/index.php/historico/concurso-poetico-segovia-y-su-sierra,Premio,"Literatura, Poesía",Literatura,Sin cargo,1000.0,EUR,1080.0,
Premio | Premio Internacional de Poesía Emilio Prados,España,Diputación Provincial de Málaga,"Podrán participar todas las personas físicas menores de 35 años que lo deseen, con una o más obras originales e inéditas en castellano, de tema libre, que no hayan sido premiadas anteriormente en otros concursos. Disciplina: poesía. El premio es de 6.000 euros y está abierto a autores latinoamericanos.",https://www.malaga.es/generaciondel27/1014/premios-literarios,Premio,"Literatura, Poesía",Literatura,Sin cargo,6000.0,EUR,6480.0,
Premio | XXVIII Premio Internacional de Poesía Generación del 27,España,Diputación Provincial de Málaga,"Podrán participar todas las personas físicas que lo deseen, con una o más obras originales e inéditas en castellano, de tema libre, que no hayan sido premiadas anteriormente en otros concursos. Disciplina: poesía. Las obras, deberán contar con un mínimo de 500 versos y se presentarán en soporte digital. El premio consiste en 15.000 euros.",https://www.malaga.es/generaciondel27/1014/premios-literarios,Premio,"Literatura, Poesía",Literatura,Sin cargo,15000.0,EUR,16200.00,
"Premio | XXXIII Premio de Poesía Ciudad de Córdoba, ""Ricardo Molina”",España,Ayuntamiento de Córdoba,"Podrán optar al premio cuantos poetas lo deseen, cualquiera que sea su nacionalidad, siempre que sus obras sean inéditas, no hayan sido premiadas en otros certámenes y se presenten escritas en lengua castellana, con una extensión de 700 a 1200 versos. Cada autor sólo podrá presentar un poemario de temática libre. Quedan expresamente excluidos los autores que hayan obtenido este premio en ediciones anteriores.El premio está dotado con 12.000 € y la publicación del poemario ganador.",https://cultura.cordoba.es/agenda-cultural/xxxiii-premio-de-poesia-ciudad-de-cordoba-ricardo-molina,Premio,"Literatura, Poesía",Literatura,Sin cargo,12000.0,EUR,12960.0,
Premio | XII Concurso El Poeta Joven del Perú,Perú,Asociación Cultural Fundación Marco Antonio Corcuera - Centro Cultural de la Universidad de Piura,"Abierto a poetas peruanos (nacidos o nacionalizados, residentes o no) menores de 30 años al 31 de diciembre de 2025. Cada participante puede enviar un poemario de entre 350 y 500 versos, de tema, rima, estilo y métrica libres, que sea totalmente inédito y no haya sido premiado (se aceptan hasta cinco poemas publicados en revistas o medios virtuales). El premio único es de S/. 15.000 soles, la estatuilla ""Espiga dorada"" y 250 ejemplares de la obra publicada.",https://www.udep.edu.pe/centrocultural/poeta-joven-peru/,Premio,"Literatura, Poesía",Literatura,Sin cargo,15000.0,PEN,4234.30,
"Premio | VII Premio de Novela Corta ""Cristóbal Zaragoza”",España,Ayuntamiento de Villajoyosa,"Abierto a personas mayores de 18 años de cualquier nacionalidad que utilicen el castellano como lengua literaria. Cada autor puede presentar una sola obra. La novela debe ser original e inédita, de tema libre, con una extensión entre 75 y 100 páginas DIN-A4, a doble espacio y con letra Times New Roman 12. La dotación del premio es de 4.800 euros.",https://www.villajoyosa.com/departamento/cultura/#convocatorias,Premio,"Literatura, Novela corta",Literatura,Sin cargo,4800.0,EUR,5184.0,
Premio | IX Premio Internacional de Poesía “Jorge Manrique”,España,Diputación de Palencia - Ayuntamiento de Paredes de Nava,"Abierto a autores mayores de edad de cualquier nacionalidad. Los originales deben ser inéditos, escritos en castellano, y no haber sido premiados ni estar pendientes de fallo en otro certamen. Cada autor podrá enviar cuantos originales desee. El tema será libre y deberán tener una extensión mínima de 500 versos. El ganador recibirá un premio dotado con un importe de 6.000 euros. ",https://www.diputaciondepalencia.es/servicios/becas-premios-concursos/ix-premio-internacional-poesia-jorge-manrique,Premio,"Literatura, Poesía",Literatura,Sin cargo,6000.0,EUR,6480.0,
Premio | VII Premio Internacional de Poesía Gabriel Celaya 2025,España,Diputación Foral de Gipuzkoa,"Abierto a personas de cualquier nacionalidad con una única obra. Las obras deben ser originales, inéditas, escritas en español, tener un mínimo de 500 versos, tema, rima y medida libres, y no haber sido premiadas previamente. El premio consiste en un elemento artístico y una dotación económica de 12.000 euros, además de la publicación de la obra y la entrega de cien ejemplares al ganador. ",https://w390w.gipuzkoa.net/WAS/CORP/DBKPoesiaSariakWEB/GabrielCelaya?locale=es,Premio,"Literatura, Poesía",Literatura,Sin cargo,12000.0,EUR,12960.0,
Premio | 44.ª Edición de los Premios del Tren 'Antonio Machado',España,Fundación de Los Ferrocarriles Españoles,"Abierto a escritores de cualquier nacionalidad a presentar obras originales e inéditas relacionadas con el mundo del ferrocarril. Se admiten tres modalidades: Poesía, Cuento y Microrrelato en Redes. Las obras deben estar escritas en cualquiera de las lenguas oficiales de España. Para Poesía y Cuento, la extensión máxima es de 4.500 palabras. Solo se permite una obra por autor. Premios: Poesía y Cuento: 7.000 € para el primer premio y 3.500 € para el segundo. Microrrelato en Redes: 700 € para el primer premio y 300 € para el segundo. Para recibir el premio, es indispensable que el ganador asista a la ceremonia de entrega.",https://ffe.es/premiosdeltren/index.asp,Premio,"Literatura, Poesía, Cuento, Microrrelato",Literatura,Sin cargo,7000.0,EUR,7.560.000.000.000.000,
Premio | XLIV Premio “Leonor” de Poesía,España,Diputación Provincial de Soria,"Abierto a poetas de cualquier nacionalidad con obras escritas en español. No pueden participar quienes hayan ganado este premio en ediciones anteriores. Las obras deben ser originales, inéditas en cualquier formato, y consistir en una colección de poemas no premiados previamente, de tema y forma libres. La extensión requerida es de entre 500 y 1.000 versos. El premio único está dotado con 10.000 euros, es indivisible y se entregará en un acto cultural en febrero de 2026.",https://certamenespoesia.dipsoria.es/,Premio,"Literatura, Poesía",Literatura,Sin cargo,10000.0,EUR,10800.0,
Premio | XLI Premio “Gerardo Diego” de Poesía para Autores Noveles,España,Diputación Provincial de Soria,"Abierto a poetas de cualquier nacionalidad que no hayan publicado ningún libro de poemas, siempre que sus trabajos estén escritos en español. Las obras, de tema y forma libres, deben ser originales, inéditas en cualquier soporte y no haber sido premiadas previamente. La extensión requerida es de entre 500 y 1.000 versos. El premio único está dotado con 5.000 euros, es indivisible y se entregará en un acto cultural en febrero de 2026.",https://certamenespoesia.dipsoria.es/,Premio,"Literatura, Poesía",Literatura,Sin cargo,5000.0,EUR,5400.0,
Premio | XXVIII Certamen de Relato Corto Frida Kahlo de Rivas,España,Ayuntamiento de Rivas Vaciamadrid,"Dirigido a personas mayores de edad de cualquier nacionalidad, sin requerir pago para participar. Disciplina: relato corto en castellano. El premio para el ganador es de 1.600 euros. No existen restricciones para artistas de Latinoamérica.",https://www.rivasciudad.es/noticias/cultura/2025/06/03/los-concursos-de-pintura-y-relato-corto-frida-kahlo-celebran-28-anos-de-creatividad/862600252690/,Premio,"Literatura, Relato Corto",Literatura,Sin cargo,1600.0,EUR,1728.0,
Premio | XXIX Certamen de Narrativa Premio “María de Maeztu”,España,Asamblea de Mujeres de Estella-Lizarra (Navarra),Dirigido a mujeres mayores de 16 años de cualquier nacionalidad o residencia; no requiere pago; disciplina: narrativa (relato) en castellano o euskera; premio de 1.200 euros; abierto a participantes de Latinoamérica.,https://www.estella-lizarra.com/noticias/certamen-literario-maria-de-maeztu/,Premio,"Literatura, Narrativa",Literatura,Sin cargo,1200.0,EUR,1296.0,
Premio | XXII Premio Nacional de Crítica Literaria y Ensayo Político Guillermo Rousset Banda 2025,México,Universidad Autónoma de Ciudad Juárez,"Dirigido a escritoras y escritores mexicanos mayores de 18 años, residentes en México o en el extranjero. No requiere pago para participar. Disciplina: ensayo literario sobre educación, economía, sociedad, filosofía o cultura. El premio es de $150,000 MXN. ",https://www.uacj.mx/convocatorias/convocatorias/detalle.html?id=2207,Premio,"Literatura, Ensayo Político, Crítica Literaria",Literatura,Sin cargo,150000.0,MXN,8550.0,
Premio | Premio Nacional de Literatura José Fuentes Mares 2025,México,Universidad Autónoma de Ciudad Juárez,"Dirigido a personas escritoras mexicanas de origen o por naturalización, sin importar que actualmente residan en el país o en el extranjero. Se considerarán únicamente obras dramáticas, publicadas en lengua española, por una editorial nacional o extranjera, entre agosto de 2021 y julio de 2025. El premio otorga $150,000 MXN y una medalla.",https://comunica.uacj.mx/06-05-2025/67186,Premio,"Literatura, ",Literatura,Sin cargo,150000.0,MXN,8550.0,
Premio | VI Premio de Relatos de la Villa de San Juan del Puerto “Cátedra Diego Rodríguez de Estrada”,España,IES Diego Rodríguez de Estrada - Ayuntamiento de San Juan del Puerto (Huelva),"Abierto a todos los escritores mayores de dieciocho años que presenten sus obras escritas en lengua española. Las obras deben ser inéditas, originales y no haber sido premiadas en ningún otro certamen. Cada autor puede presentar una única obra. Los relatos deben tener una extensión de entre 2,500 y 4,500 palabras. El premio para el ganador es de 2.000 euros. La convocatoria está abierta internacionalmente, lo que incluye a artistas de Latinoamérica.",https://blogsaverroes.juntadeandalucia.es/iesdiegorodriguezdeestrada/2025/05/26/concurso-de-relatos-2025/,Premio,"Literatura, Relato",Literatura,Sin cargo,2000.0,EUR,2160.0,
Premio | XXIX Premio de Novela Corta «Salvador García Aguilar»,España,Ayuntamiento de Rojales,"Abierto a escritores de cualquier nacionalidad a presentar obras inéditas y sin compromisos de edición, que no hayan sido premiadas ni publicadas previamente. Se excluyen los ganadores de ediciones anteriores. La participación es con novelas cortas, de tema, forma y estilo libres, que cumplan con el concepto literario de novela. Los autores pueden presentar cuantos originales deseen. Las obras, de 80 a 125 páginas, se entregarán solo en papel y bajo seudónimo. Se establece un premio único de 4.000 €. ",https://www.rojales.es/xxix-premio-de-novela-cortasalvador-garcia-aguilar/,Premio,"Literatura, Novela corta",Literatura,Sin cargo,4000.0,EUR,4320.0,
Premio | VI Premio Internacional de Poesía Juan Ramón Jiménez De Coral Gables 2025,EEUU,Editorial Art-Solido,"Dirigido a autores internacionales que escriban poesía en español; no requiere pago para participar. Disciplina: poesía. Los libros, con absoluta libertad temática y formal, tendrán una extensión comprendida entre los 600 y 1000 versos o líneas, bien entendido que el texto impreso no tendrá menos de 60 ni más de 100 páginas a doble espacio. Premio de $1,000 USD, publicación del libro y 20 ejemplares; abierto a artistas de Latinoamérica.",https://artsolido.com/convocatoria/,Premio,"Literatura, Poesía",Literatura,Sin cargo,1000.0,USD,1000.0,
Premio | VIII Premio Internacional ‘Ramos Ópticos’ al Mejor Relato sobre Jazz,España,Festival Internacional Jazz Palencia,"Dirigido a autores mayores de edad que escriban relatos en español inspirados en el jazz; no requiere pago para participar. Disciplina: literatura (relato). Premio: 2.000 euros más lote de libros para el ganador y accésit de 300 euros; abierto a participantes de cualquier país, incluyendo Latinoamérica.",https://jazzpalencia.es/se-convoca-una-nueva-edicion-del-premio-internacional-ramos-opticos-al-mejor-relato-sobre-jazz-3/,Premio,"Literatura, Música",Música,Sin cargo,2000.0,EUR,2160.0,
Premio | II Concurso Internacional de Guiones “Break On Time”,España,ISII Group,"Dirigido a guionistas mayores de edad de cualquier nacionalidad con experiencia previa en la industria audiovisual. No se especifica si requiere pago, se centra en el género del guion y premia con 3.000 euros y posibilidad de producción a los ganadores. Está abierto a artistas de Latinoamérica.",https://www.isiigroup.com/break-on-time,Premio,"Cine, Guión",Cine,Sin cargo,3000.0,EUR,3240.0,
Premio | Premio Lo Mejor de Nos 2025,Venezuela,Banesco,"Dirigido a venezolanos, dentro y fuera del país, y a extranjeros residenciados en Venezuela. No requiere pago para participar. Disciplina: historias de no ficción; premio único de 450 dólares. Abierto para artistas de Latinoamérica siempre que cumplan con los requisitos de nacionalidad o residencia.",https://www.banesco.com/nota-de-prensa/premio-lo-mejor-de-nos-abierta-la-convocatoria-2025/,Premio,"Literatura, Relato Documental",Cine,Sin cargo,450.0,USD,450.0,
"Premio | XXII Concurso Bienal Nacional de Cuento ""Germán Patrón Candela”",Perú,CEPROCUT,"Dirigido a jóvenes residentes en Perú de 17 a 27 años, excluyendo a ganadores anteriores. El objetivo es promover la creación literaria relacionada con el patrimonio cultural de la región de procedencia del participante, abarcando aspectos como costumbres, música, historia o gastronomía. Las obras deben ser originales e inéditas, de 5 a 10 páginas. El premio es de S/ 3,000 soles y no está abierto a artistas de Latinoamérica fuera de Perú.",https://www.instagram.com/p/DIJ1UyWgFiM/,Premio,"Literatura, Relato, Cuento",Literatura,Sin cargo,3000.0,PEN,810.0,
Premio | VI Certamen de Poesía Cecilio Fernández Testón,España,Ayuntamiento de Peñamellera Baja,"Dirigido a poetas nacionales y extranjeros sin restricciones, incluyendo artistas de Latinoamérica, sin requerir pago para participar. Disciplina: poesía (un soneto, tema libre). Premio principal de 1.800 euros, escultura y diploma; el segundo y tercer lugar reciben diplomas y placa honorífica.",https://www.aytopbpanes.es/bases-del-certamen-2025,Premio,"Literatura, Poesía",Literatura,Sin cargo,1800.0,EUR,1944.0,
Premio | Premio Pura Pinche Fortaleza de Novela Gráfica 2025,México,Pura Pinche Fortaleza Cómics,"Dirigido a autores mexicanos y extranjeros residentes en México mayores de 18 años; no requiere pago para participar. Disciplinas: novela gráfica y cómic. El premio consiste en la publicación y entrega de 1,000 ejemplares de la obra ganadora; no está abierto para artistas de toda Latinoamérica, solo para quienes residen en México.",https://purapinchefortalezacomics.com/,Premio,"Literatura, Visuales, Diseño, Novela Gráfica, Cómic",Diseño,Sin cargo,,MXN,,
Premio | 2da Edición del Premio Literario Xperience Caixabank,España,CaixaBank y Plataforma Editorial,"Dirigido a escritores mayores de edad de cualquier nacionalidad que residan en España; no requiere pago para participar. Disciplinas: obras literarias en castellano (ficción, autoficción y no ficción) sobre música, gastronomía, deporte o cultura. Premio de 2.000 euros y 100 ejemplares; no está abierto a artistas que residan fuera de España, incluyendo Latinoamérica.",https://www.plataformaeditorial.com/post/361/1/10637/2-edicion-premio-literario-xperience-caixa-bank,Premio,Literatura,Literatura,Sin cargo,2000.0,EUR,2160.0,
Premio | Premio Literario “Ciutat D’Onda” de Novela 2025,España,Ayuntamiento de Onda,"Abierto a personas físicas de cualquier nacionalidad residentes en España y mayores de edad a presentar novelas originales e inéditas escritas en castellano. Las obras no deben haber sido premiadas ni publicadas previamente. La temática es libre, pero la ciudad de Onda debe ser un elemento trascendental en la trama, los manuscritos, con una extensión de 100.000 a 150.000 palabras. El premio consiste en 20.000,00 euros y una escultura conmemorativa, además de la publicación de la obra ganadora. Solo para residentes en España.",https://www.infosubvenciones.es/bdnstrans/GE/es/convocatorias/804545,Premio,"Literatura, Novela",Literatura,Sin cargo,2000000.0,EUR,2160000.0,
Premio | 47º Premio “Tigre Juan” 2025,España,Asociación Cultural “Tribuna Ciudadana”,"El Premio busca reconocer y dar visibilidad a una obra narrativa de indudable potencia literaria, escrita y editada en lengua castellana (o traducida de otras lenguas del Estado) y publicada entre el 1 de septiembre de 2024 y el 31 de agosto de 2025, cuya difusión no haya correspondido a su valía. Pueden participar autores mayores de edad, sin importar si son noveles o consagrados, siempre que sus obras sean inéditas, originales, no premiadas previamente en otros certámenes y no autoeditadas. El premio otorga una dotación económica tanto al ganador como al finalista, tomando como referencia 10.000 € para el ganador y 5.000 € para el finalista, además del reconocimiento y la mayor visibilidad para la obra.",http://www.tribunaciudadana.org/key/premio-tigre-juan/bases-xlvii-premio-tigre-juan-2025_3807_207_4128_0_1_in.html,Premio,"Literatura, Obra Publicada",Literatura,Sin cargo,10000.0,EUR,10800.0,
Premio | XXV Concurso de Cuentos Ciudad de Marbella,España,Fundación José Banús y Pilar Calvo Sánchez de León,"Dirigido a mayores de edad de cualquier nacionalidad, sin requerir pago. Disciplina: cuento literario. El premio es de 5.000 euros para adultos y 2.000 euros para infantil, y la convocatoria está abierta a participantes de Latinoamérica.",https://www.fundacionbanus.com/xxv-concurso-de-cuentos-ciudad-de-marbella/,Premio,"Literatura, Cuento",Literatura,Sin cargo,5000.0,EUR,5400.0,
Premio | II Premio Hispanoamericano de Narrativa Las yubartas,EEUU,Feria Internacional del Libro de la Ciudad de Nueva York,"Abierto a presentar manuscritos narrativos originales e inéditos de cualquier nacionalidad, escritos en español (o bilingües/experimentales con español de referencia), que incluyan novelas, cuentos, cuentos en verso y ensayos novelísticos, con un carácter literario y una extensión recomendada de 50 a 250 páginas. El ganador recibirá un anticipo de derechos de autor de $4,200 USD y se comprometerá a firmar contratos de publicación exclusivos con las editoriales participantes.",https://filnyc.org/las-yubartas/,Premio,Literatura,Literatura,Sin cargo,4200.0,USD,4200.0,
Premio | XLVI Premio Internacional Afundación de Periodismo Julio Camba,España,Afundación,"Dirigido a periodistas y autores de artículos de opinión o periodismo literario, con una extensión máxima de mil doscientas palabras, publicados en lengua castellana entre el 1 de septiembre de 2024 y el 31 de agosto de 2025. Disciplina: periodismo literario; premio de 10.000 euros para el ganador y 2.000 euros para los finalistas; abierto a participantes de toda Hispanoamérica, incluida Latinoamérica.",https://www.afundacion.org/docs/galeria/bases_XLVI_PREMIO%20CAMBA.pdf,Premio,"Otras, Literatura, Periodismo",Literatura,Sin cargo,10000.0,EUR,10800.0,
Premio | Nuestra América 2025,España,Diputación Provincial de Sevilla,"Dirigido a autores de cualquier nacionalidad con monografías inéditas sobre temas americanos; no requiere pago para participar; disciplina: literatura (ensayo o monografía); premio de 4,000 euros para el ganador y 1,500 euros para el accésit; está abierta a participantes de América Latina.",https://www.dipusevilla.es/comunicacion/noticias/Hasta-el-12-de-septiembre-entrega-de-originales-para-el-Premio-Nuestra-America-2025-de-la-Diputacion-que-incrementa-la-dotacion-de-sus-premios/,Premio,"Literatura, Ensayo, Monografía",Literatura,Sin cargo,4000.0,EUR,4320.0,
Premio | Concurso de Novela Gráfica BRMU 2025,España,Biblioteca Regional de Murcia,Dirigido a mayores de edad socios de bibliotecas públicas de España; no requiere pago para participar. Disciplinas: novela gráfica (narrativa e ilustración). El premio es de 5.000 euros y no está abierto a artistas de Latinoamérica.,https://sede.carm.es/web/pagina?IDCONTENIDO=4204&IDTIPO=240&RASTRO=c%24m40288,Premio,"Literatura, Visuales, Diseño",Diseño,Sin cargo,5000.0,EUR,5400.0,
Premio | VIII Premio internacional de Narrativa “Ciudad de la Cruz”,España,Ayuntamiento de Caravaca de la Cruz,"Dirigido a personas mayores de 18 años de cualquier nacionalidad; no requiere pago para participar. Disciplina: narrativa (relato en castellano, inédito, temática relacionada con Caravaca de la Cruz). Premio único de 1.500 euros; abierto a autores de Latinoamérica.",https://premioalbacara.com/premios/premio-nacional-de-narrativa-ciudad-de-la-cruz/,Premio,"Literatura, Narrativa",Literatura,Sin cargo,1500.0,EUR,1620.0,
Premio | XXXIV Premio Edebé de Literatura Infantil y Juvenil,España,Edebé,"El premio tiene como objetivo reconocer y publicar novelas originales e inéditas, con temática libre, destinadas a lectores jóvenes, y está abierto a autores de cualquier nacionalidad residentes en España. Se establecen dos modalidades: infantil (7 a 12 años, 25.000 €) con obras de 20 a 80 páginas, y juvenil (más de 12 años, 30.000 €) con obras de 80 a 200 páginas. Las obras deben estar escritas en castellano o en cualquiera de las lenguas oficiales del Estado español, y los autores ceden en exclusiva los derechos de explotación a Edebé en caso de ser premiados.",https://edebe.com/premio-edebe/,Premio,"Literatura, Novela Infantil y Juvenil",Literatura,Sin cargo,25000.0,EUR,27000.0,
"Premio | Premio Asturias Joven de Poesía, Narrativa y Textos Teatrales 2025",España,Principado de Asturias,"Dirigido a jóvenes hasta 35 años nacidos o residentes en Asturias, o descendientes hasta segundo grado de emigrantes asturianos; no requiere pago; disciplinas: poesía, narrativa y textos teatrales; premio de 3.000 euros para cada modalidad y en la publicación de los libros.; no está abierto a artistas de Latinoamérica salvo descendientes de asturianos.",https://juventud.asturias.es/-/premio-asturias-joven-de-poes%C3%ADa-narrativa-y-textos-teatrales-,Premio,"Literatura, Poesía, Narrativa, Dramaturgia",Escénicas,Sin cargo,3000.0,EUR,3240.0,
"Premio | 8º Premio de Poesía Mística ""San Juan de la Cruz"" Albacara 2025",España,Ayuntamiento de Caravaca de la Cruz,Dirigido a personas mayores de edad de cualquier nacionalidad que presenten poemarios inéditos en castellano; no requiere pago para participar. Disciplina: poesía mística. Premio de 3.500 euros y publicación; abierto a autores de Latinoamérica.,https://premioalbacara.com/premios/premio-poesia-mistica-san-juan-de-la-cruz/,Premio,"Literatura, Poesía",Literatura,Sin cargo,3500.0,EUR,3.780.000.000.000.000,
Premio | XXXIX Premio Internacional de Poesía “Antonio Oliver Belmás”,España,Universidad Popular de Cartagena,"Dirigido a poetas de cualquier nacionalidad, incluyendo Latinoamérica, que presenten obras originales e inéditas en castellano, con una extensión mínima de 400 versos; Disciplina: poesía. El premio es de 9.500 euros y publicación del libro.",https://www.cartagena.es/detalle_noticias.asp?id=81676,Premio,"Literatura, Poesía",Literatura,Sin cargo,9500.0,EUR,10260.0,
Convocatoria | Concurso Literario: Macondos del Siglo XXI 2025,Perú,Fundación Universidad Hispana,"Dirigido a escritores de cualquier país, sin restricción de nacionalidad. No requiere pago para participar. Disciplina: relato literario en castellano. El premio consiste en la publicación de la obra, sin estipulación de monto económico. Abierto a escritores de Latinoamérica y del mundo.",https://www.fundacionuniversidadhispana.com/concurso,Convocatoria,"Literatura, Relato",Literatura,Sin cargo,,PEN,,
